seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.5509259259259259,119,216,3.005487850815472,3.446145972702652,4.240051959641278,4.372208029963076,0.6491853757761419,60,3.966666666666667,78548.76318363911,0.6560557909542695
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.5509259259259259,119,216,3.039591616403346,3.4753124928101897,4.375062504550442,4.491791944019496,0.6565517891431227,60,3.966666666666667,78548.76318363911,0.6601933749625459
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.7129629629629629,154,216,2.4424423490590588,2.5463124620728195,3.9816044736653566,4.068750073201954,0.5275675473967567,60,5.133333333333334,78661.28286763107,0.531521457945928
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.7453703703703703,161,216,1.729435767090224,1.4927295269444585,3.685250034322962,4.144459031522274,0.3735581256914884,60,5.366666666666666,78637.41462380144,0.3773794589797035
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.7592592592592593,164,216,1.307266806381651,1.074249972589314,3.0189582030288875,3.098999965004623,0.28236963017843664,60,5.466666666666667,78557.86099595338,0.28625958401244134
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.8009259259259259,173,216,1.055314063301517,0.9752290206961334,2.5678332312963903,2.8749589109793305,0.22794783767312765,60,5.766666666666667,78487.48856810888,0.231852208962664
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.5384615384615384,147,273,4.651227397093679,5.453416961245239,6.451783166266978,6.69637497048825,1.2697850794065744,60,4.9,78561.84510951185,11.244570249924436
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.5384615384615384,147,273,4.6475690093587385,5.4873330518603325,6.508616195060313,6.76108303014189,1.2687863395549357,60,4.9,78561.84510951185,1.2729793329490349
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.5787545787545788,158,273,3.1067841919139028,2.4596659932285547,5.629483214579523,5.855291965417564,0.8481520843924955,60,5.266666666666667,78585.2243294746,0.8524841249454767
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.5787545787545788,158,273,1.7614266221094264,1.8418750260025263,2.9416251461952925,3.0419169925153255,0.48086946783587337,60,5.266666666666667,78526.5124852069,0.48519708297681063
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.608058608058608,166,273,1.6777947239727873,1.7418330535292625,2.939149970188737,3.05937509983778,0.45803795964457095,60,5.533333333333333,78633.87066378706,0.462253832956776
