seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,collect_to,scorer_path,scorer_mode,scorer_top_k,scorer_filter_logit_threshold,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9855072463768116,68,69,1.5288828129785648,1.4767079846933484,2.8053329559043045,2.916333032771945,0.10549291409552097,38,2.2666666666666666,76780.03901754507,0.112020792090334
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9710144927536232,67,69,0.49772459770674293,0.29633298981934786,1.0016415733844013,10.324458940885961,0.03434299724176526,54,2.2333333333333334,77280.93105949208,1.1210794999497011
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9855072463768116,68,69,0.5913018856359564,0.5263750208541751,0.9947001934051511,2.704292070120573,0.040799830108881,40,2.2666666666666666,76858.51692405938,0.044781875098124146
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.5509259259259259,119,216,3.5676604656381876,3.7859794683754444,6.378759775543585,10.09312504902482,0.7706146605778486,60,3.966666666666667,78548.76318363911,0.775756209040992
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.5787037037037037,125,216,3.044697353120514,1.3821040047332644,6.7484890460036695,7.935000001452863,0.657654628274031,60,4.166666666666667,78362.95376097664,0.6779775409959257
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.5601851851851852,121,216,2.8143988990147286,1.1586460750550032,6.33234393899329,14.182875049300492,0.6079101621871814,60,4.033333333333333,78567.02183965578,0.6125141250668094
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.39267015706806285,150,382,6.3627681991143925,7.707604032475501,8.365995925851166,10.457750060595572,2.430577452061698,60,5.0,78651.579931887,2.435277250013314
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.3586387434554974,137,382,4.361875521333605,6.002437032293528,7.387627364369107,16.818000003695488,1.6662364491494372,60,4.566666666666666,78415.33902184921,1.671952374977991
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.39267015706806285,150,382,5.944573180262409,8.187353960238397,10.125941637670621,33.79333298653364,2.27082695486024,60,5.0,78651.579931887,2.276729749981314
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9855072463768116,68,69,1.971895534855624,1.9413750851526856,3.2765086041763425,3.428791998885572,0.13606079190503806,38,1.1333333333333333,151164.4210422168,0.13949133397545666
